pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
4/24/24	Monetary Policy Transmission through the Lens of the RBA's Models	RBA Bulletin	This paper explains how the monetary policy transmission mechanism works in the RBA's DSGE and macro-econometric models. We also benchmark those models' IRFs against non-RBA models.	"Mulqueeney, J., Ballantyne, A, and Hambur, J. (2025). ""Monetary Policy Transmission through the Lens of the RBA's models"". RBA Bulletin."	mp-bulletin-2025	https://www.rba.gov.au/publications/bulletin/2025/apr/monetary-policy-transmission-through-the-lens-of-the-rbas-models.html	
							
							
